strain,name,cosm,treatment,timepoint,mutations,fixed,linegroup,number_of_variants,fixed_total_ratio,fixed_total_ratio_number,fixation_rate,acc_rate,hill
Ct,T33.4.4,4,4,T33,14.191991222295801,7,ct_4_4,19,0.4932359307693842,0.3684210526315789,2.3333333333333335,4.730663740765267,14.191991222295801
Ct,T33.4.5,5,4,T33,7.4986681113698594,3,ct_5_4,19,0.400071046677109,0.15789473684210525,1.0,2.4995560371232863,7.4986681113698594
At,T33.4.5,5,4,T33,4.3752697303363925,0,at_5_4,12,0.0,0.0,0.0,1.4584232434454643,4.3752697303363925
At,T33.4.4,4,4,T33,5.957877815951862,5,at_4_4,9,0.8392249983060744,0.5555555555555556,1.6666666666666667,1.985959271983954,5.957877815951862
Ms,T11.4.5,5,4,T11,0.0,0,ms_5_4,0,,,0.0,0.0,0.0
Ms,T11.4.4,4,4,T11,9.0,3,ms_4_4,11,0.3333333333333333,0.2727272727272727,3.0,9.0,9.0
Ct,T11.4.5,5,4,T11,5.422743651623309,3,ct_5_4,9,0.5532254874526374,0.3333333333333333,3.0,5.422743651623309,5.422743651623309
Ms,T11.4.2,2,4,T11,9.273109315725197,4,ms_2_4,12,0.43135477689418167,0.3333333333333333,4.0,9.273109315725197,9.273109315725197
Ms,T11.4.1,1,4,T11,1.0,1,ms_1_4,1,1.0,1.0,1.0,1.0,1.0
At,T22.4.1,1,4,T22,2.755235895204959,1,at_1_4,7,0.36294532955974396,0.14285714285714285,0.5,1.3776179476024795,2.755235895204959
At,T22.4.2,2,4,T22,4.372389230588513,0,at_2_4,13,0.0,0.0,0.0,2.1861946152942564,4.372389230588513
At,T22.4.3,3,4,T22,3.614224052948892,3,at_3_4,6,0.8300536867802264,0.5,1.5,1.807112026474446,3.614224052948892
Ms,T22.4.2,2,4,T22,8.938675213675214,6,ms_2_4,12,0.6712404082901059,0.5,3.0,4.469337606837607,8.938675213675214
At,T22.4.4,4,4,T22,4.830136746329791,4,at_4_4,7,0.828133903877447,0.5714285714285714,2.0,2.4150683731648956,4.830136746329791
Ct,T44.4.5.rep,5,4,T44,12.272030978722137,3,ct_5_4,31,0.2444583138032776,0.0967741935483871,0.75,3.0680077446805343,12.272030978722137
Ct,T44.4.4,4,4,T44,16.124107109934016,7,ct_4_4,21,0.4341325663662529,0.3333333333333333,1.75,4.031026777483504,16.124107109934016
Ct,T44.4.3,3,4,T44,10.324951862674022,3,ct_3_4,22,0.2905582553702135,0.13636363636363635,0.75,2.5812379656685054,10.324951862674022
Ct,T44.4.2,2,4,T44,12.174679624725721,3,ct_2_4,21,0.24641305500206015,0.14285714285714285,0.75,3.0436699061814303,12.174679624725721
Ct,T44.4.1,1,4,T44,9.915767859500146,4,ct_1_4,17,0.40339790691728034,0.23529411764705882,1.0,2.4789419648750366,9.915767859500146
At,T33.4.1,1,4,T33,2.5058511471847975,1,at_1_4,4,0.3990660024333255,0.25,0.3333333333333333,0.8352837157282659,2.5058511471847975
At,T33.4.2,2,4,T33,3.5837559052179744,0,at_2_4,8,0.0,0.0,0.0,1.1945853017393249,3.5837559052179744
At,T33.4.3.rep,3,4,T33,4.148081760447106,0,at_3_4,10,0.0,0.0,0.0,1.3826939201490351,4.148081760447106
At,T22.4.5,5,4,T22,3.5653500434163203,3,at_5_4,6,0.8414321072175562,0.5,1.5,1.7826750217081602,3.5653500434163203
Oa,T44.4.5.rep,5,4,T44,8.672634386177426,1,oa_5_4,20,0.11530521816921221,0.05,0.25,2.1681585965443566,8.672634386177426
